url,reviews,rank,rating,hotel_name,hotel_features,hotel_price,no_of_deals,booking_provider
https://www.tripadvisor.com/Hotel_Review-g60745-d13403186-Reviews-Courtyard_Boston_Downtown_North_Station-Boston_Massachusetts.html,94 ,#1 of 86 hotels in Boston,5,Courtyard Boston Downtown/North Station,"Free Wifi,Restaurant,Hotel website",,0,Booking.com
https://www.tripadvisor.com/Hotel_Review-g60745-d94330-Reviews-Seaport_Boston_Hotel-Boston_Massachusetts.html,5301 ,#2 of 86 hotels in Boston,4.5,Seaport Boston Hotel,"Free Wifi,Pool,Hotel website",,5,TripAdvisor
https://www.tripadvisor.com/Hotel_Review-g60745-d620703-Reviews-InterContinental_Boston-Boston_Massachusetts.html,4924 ,#3 of 86 hotels in Boston,4.5,InterContinental Boston,"Pool,Restaurant,Hotel website",,5,Booking.com
https://www.tripadvisor.com/Hotel_Review-g60745-d94344-Reviews-Marriott_Vacation_Club_Pulse_at_Custom_House_Boston-Boston_Massachusetts.html,896 ,#4 of 86 hotels in Boston,4.5,"Marriott Vacation Club Pulse at Custom House, Boston","Free Wifi,Bar/Lounge,Hotel website",,0,TripAdvisor
https://www.tripadvisor.com/Hotel_Review-g60745-d89585-Reviews-Four_Seasons_Hotel_Boston-Boston_Massachusetts.html,1983 ,#5 of 86 hotels in Boston,4.5,Four Seasons Hotel Boston,"Pool,Restaurant,Hotel website",,0,TripAdvisor
https://www.tripadvisor.com/Hotel_Review-g60745-d114134-Reviews-Lenox_Hotel-Boston_Massachusetts.html,3578 ,#6 of 86 hotels in Boston,4.5,Lenox Hotel,"Free Wifi,Restaurant",,5,TripAdvisor
https://www.tripadvisor.com/Hotel_Review-g60745-d89575-Reviews-Boston_Harbor_Hotel-Boston_Massachusetts.html,2074 ,#7 of 86 hotels in Boston,4.5,Boston Harbor Hotel,"Free Wifi,Pool",,0,TripAdvisor
https://www.tripadvisor.com/Hotel_Review-g60745-d1136705-Reviews-Mandarin_Oriental_Boston-Boston_Massachusetts.html,785 ,#8 of 86 hotels in Boston,4.5,"Mandarin Oriental, Boston","Restaurant,Room Service,Hotel website",,5,TripAdvisor
https://www.tripadvisor.com/Hotel_Review-g60745-d6485213-Reviews-The_Verb_Hotel-Boston_Massachusetts.html,2899 ,#9 of 86 hotels in Boston,4.5,The Verb Hotel,"Free Wifi,Pool,Hotel website",,5,TripAdvisor
https://www.tripadvisor.com/Hotel_Review-g60745-d111423-Reviews-Eliot_Hotel-Boston_Massachusetts.html,1490 ,#10 of 86 hotels in Boston,4.5,Eliot Hotel,"Free Wifi,Restaurant",,5,TripAdvisor
https://www.tripadvisor.com/Hotel_Review-g60745-d313573-Reviews-Courtyard_Boston_Copley_Square-Boston_Massachusetts.html,1940 ,#11 of 86 hotels in Boston,4.5,Courtyard Boston Copley Square,"Free Wifi,Restaurant,Hotel website",,0,TripAdvisor
https://www.tripadvisor.com/Hotel_Review-g60745-d8316858-Reviews-The_Godfrey_Hotel_Boston-Boston_Massachusetts.html,4135 ,#12 of 86 hotels in Boston,4.5,The Godfrey Hotel Boston,"Free Wifi,Room Service,Hotel website",,5,TripAdvisor
https://www.tripadvisor.com/Hotel_Review-g60745-d258705-Reviews-Hotel_Commonwealth-Boston_Massachusetts.html,4685 ,#13 of 86 hotels in Boston,4.5,Hotel Commonwealth,"Free Wifi,Restaurant,Hotel website",,5,TripAdvisor
https://www.tripadvisor.com/Hotel_Review-g60745-d4325990-Reviews-Residence_Inn_by_Marriott_Boston_Back_Bay_Fenway-Boston_Massachusetts.html,1737 ,#14 of 86 hotels in Boston,4.5,Residence Inn by Marriott Boston Back Bay/Fenway,"Free Wifi,Breakfast included,Hotel website",,0,TripAdvisor
https://www.tripadvisor.com/Hotel_Review-g60745-d8142646-Reviews-Hilton_Garden_Inn_Boston_Logan_Airport-Boston_Massachusetts.html,1145 ,#15 of 86 hotels in Boston,4.5,Hilton Garden Inn Boston Logan Airport,"Free Parking,Pool,Hotel website",b'$329',6,Booking.com
https://www.tripadvisor.com/Hotel_Review-g60745-d321151-Reviews-Loews_Boston_Hotel-Boston_Massachusetts.html,1838 ,#16 of 86 hotels in Boston,4.5,Loews Boston Hotel,"Free Wifi,Restaurant,Hotel website",,0,TripAdvisor
https://www.tripadvisor.com/Hotel_Review-g60745-d94371-Reviews-Colonnade_Hotel-Boston_Massachusetts.html,3530 ,#17 of 86 hotels in Boston,4.5,Colonnade Hotel,"Free Wifi,Pool",,5,TripAdvisor
https://www.tripadvisor.com/Hotel_Review-g60745-d4232689-Reviews-Residence_Inn_Boston_Downtown_Seaport-Boston_Massachusetts.html,529 ,#18 of 86 hotels in Boston,4.5,Residence Inn Boston Downtown/Seaport,"Free Wifi,Breakfast included,Hotel website",,5,TripAdvisor
https://www.tripadvisor.com/Hotel_Review-g60745-d111444-Reviews-Fairmont_Copley_Plaza_Boston-Boston_Massachusetts.html,3524 ,#19 of 86 hotels in Boston,4.5,"Fairmont Copley Plaza, Boston","Restaurant,Room Service,Hotel website",,5,TripAdvisor
https://www.tripadvisor.com/Hotel_Review-g60745-d114149-Reviews-The_Langham_Boston-Boston_Massachusetts.html,2564 ,#20 of 86 hotels in Boston,4.5,"The Langham, Boston","Free Wifi,Pool,Hotel website",,5,TripAdvisor
https://www.tripadvisor.com/Hotel_Review-g60745-d1159285-Reviews-The_Inn_At_St_Botolph-Boston_Massachusetts.html,598 ,#21 of 86 hotels in Boston,4.5,The Inn At St Botolph,"Free Wifi,Breakfast included,Hotel website",,6,TripAdvisor
https://www.tripadvisor.com/Hotel_Review-g60745-d499916-Reviews-The_Boxer_Boston-Boston_Massachusetts.html,1201 ,#22 of 86 hotels in Boston,4.5,The Boxer Boston,"Free Wifi,Restaurant,Hotel website",,0,TripAdvisor
https://www.tripadvisor.com/Hotel_Review-g60745-d3225572-Reviews-EnVision_Hotel_Boston_Longwood-Boston_Massachusetts.html,661 ,#23 of 86 hotels in Boston,4.5,enVision Hotel Boston - Longwood,"Free Wifi,Fitness center",,5,TripAdvisor
https://www.tripadvisor.com/Hotel_Review-g60745-d94337-Reviews-XV_Beacon-Boston_Massachusetts.html,1185 ,#24 of 86 hotels in Boston,4.5,XV Beacon,"Free Wifi,Restaurant",,5,TripAdvisor
https://www.tripadvisor.com/Hotel_Review-g60745-d114150-Reviews-Bostonian_Boston-Boston_Massachusetts.html,1911 ,#25 of 86 hotels in Boston,4.5,Bostonian Boston,"Restaurant,Room Service",,0,TripAdvisor
https://www.tripadvisor.com/Hotel_Review-g60745-d234752-Reviews-Kimpton_Nine_Zero_Hotel-Boston_Massachusetts.html,2896 ,#26 of 86 hotels in Boston,4.5,Kimpton Nine Zero Hotel,"Free Wifi,Restaurant,Hotel website",,5,TripAdvisor
https://www.tripadvisor.com/Hotel_Review-g60745-d1486034-Reviews-W_Boston-Boston_Massachusetts.html,1895 ,#27 of 86 hotels in Boston,4.5,W Boston,"Restaurant,Room Service,Hotel website",,5,TripAdvisor
https://www.tripadvisor.com/Hotel_Review-g60745-d268207-Reviews-Residence_Inn_by_Marriott_Boston_Harbor_on_Tudor_Wharf-Boston_Massachusetts.html,934 ,#28 of 86 hotels in Boston,4.5,Residence Inn by Marriott Boston Harbor on Tudor Wharf,"Free Wifi,Breakfast included,Hotel website",,5,TripAdvisor
https://www.tripadvisor.com/Hotel_Review-g60745-d111421-Reviews-Copley_Square_Hotel-Boston_Massachusetts.html,2113 ,#29 of 86 hotels in Boston,4.5,Copley Square Hotel,"Free Wifi,Restaurant,Hotel website",,5,TripAdvisor
https://www.tripadvisor.com/Hotel_Review-g60745-d89620-Reviews-Hyatt_Regency_Boston_Harbor-Boston_Massachusetts.html,2816 ,#30 of 86 hotels in Boston,4,Hyatt Regency Boston Harbor,"Free Wifi,Restaurant",,0,Hotels.com
